SKU,Short description,Tags
STO-ITEM-2020-00536,<ul>\n<li>গুড নাইট অ্যাকটিভ প্লাস রিফিল</li>\n</ul>\n,"কয়েল,coil,koil,matchine,"
STO-ITEM-2020-00537,<ul>\n<li>গুড নাইট হিট জেল এন্টি রোচ</li>\n</ul>\n,"কয়েল,coil,koil,matchine,"
STO-ITEM-2020-00547,<ul>\n<li>ফে এয়ার ফ্রেশনার  জেসমিন ৩০০ মিলি</li>\n</ul>\n,"ফ্রেশনার,পিঙ্ক,ফ্রেসনার,রুম স্প্রে,air freshner,office"
STO-ITEM-2020-00548,<ul>\n<li>ফে এয়ার ফ্রেশনার লিলি ৩০০ মিলি</li>\n</ul>\n,"ফ্রেশনার,পিঙ্ক,ফ্রেসনার,রুম স্প্রে,air freshner,office"
STO-ITEM-2020-00549,<ul>\n<li>ফে এয়ার ফ্রেশনার এন্টি টোবাকো ৩০০ মিলি</li>\n</ul>\n,"ফ্রেশনার,পিঙ্ক,ফ্রেসনার,রুম স্প্রে,air freshner,office"
STO-ITEM-2020-00550,<ul>\n<li>ফে এয়ার ফ্রেশনার ওরিয়েন্টাল ৩০০ মিলি</li>\n</ul>\n,"ফ্রেশনার,পিঙ্ক,ফ্রেসনার,রুম স্প্রে,air freshner,office"
STO-ITEM-2020-00551,<ul>\n<li>ফে এয়ার ফ্রেশনার লাইম ৩০০ মিলি</li>\n</ul>\n,"ফ্রেশনার,পিঙ্ক,ফ্রেসনার,রুম স্প্রে,air freshner,office"
STO-ITEM-2020-00552,<ul>\n<li>ফে এয়ার ফ্রেশনার নারসিয়াস ৩০০ মিলি</li>\n</ul>\n,"ফ্রেশনার,পিঙ্ক,ফ্রেসনার,রুম স্প্রে,air freshner,office"
STO-ITEM-2020-00553,<ul>\n<li>ফে এডাল্ট কর্টন বাডস</li>\n</ul>\n,"বাড্স,অ্যাডাল্ট,বাড,কটন,বার্ড,fae,bud,coton "
STO-ITEM-2020-00554,<ul>\n<li>সাফোলা হানি ৫০০ মিলি</li>\n</ul>\n,"মধু,হানী,honi,hane,hany,modhu,safola"
STO-ITEM-2020-00555,<ul>\n<li>সুপারমম বেবি ডায়পার নিউ বোর্ন স্মল -৮কেজি(৪পিস) </li>\n</ul>\n,"ডায়াপার,বেবী,dieper,diper,babi
"
STO-ITEM-2020-00556,<ul>\n<li>হিমালয়া স্পার্কলিং হোয়াইট টুথপেষ্ট ১০০ গ্রাম</li>\n</ul>\n,"টুথপেষ্ট,পেষ্ট,হিমালয়া,পেস্ট,টুথ,himalaya,white paste,toothpaste,tothpaste,"
STO-ITEM-2020-00557,<ul>\n<li>হিমালয়া ফেয়ারনেস কেসার ফেসওয়াশ ইনস্ট্যান্ট গ্লো ১০০ মিলি</li>\n</ul>\n,"কেশার,kesar facewas,fasewash,himaly,skin care"
STO-ITEM-2020-00558,<ul>\n<li>হিমালয়া ফেয়ারনেস কেসার ফেসওয়াশ ইনস্ট্যান্ট গ্লো ৫০ মিলি</li>\n</ul>\n,"কেশার,kesar facewas,fasewash,himaly,skin care"
STO-ITEM-2020-00559,<ul>\n<li>হিমালয়া পিউরিফাইং নিম ফেস ওয়াশ প্রিভেন্ট পিম্পলস ১০০ মিলি</li>\n</ul>\n,"নীম,nim,nem,facewas,fasewash,himaly,skin care"
STO-ITEM-2020-00560,<ul>\n<li>হিমালয়া মসচারাইজিং এলো ভেরা ফেস ওয়াশ ৫০ মিলি</li>\n</ul>\n,"alovera,facewas,fasewash,himaly,skin care"
STO-ITEM-2020-00561,<ul>\n<li>হিমালয়া মসচারাইজিং এলো ভেরা ফেস ওয়াশ 100 মিলি</li>\n</ul>\n,"alovera,facewas,fasewash,himaly,skin care"
STO-ITEM-2020-00562,<ul>\n<li>হিমালয়া নওরিশিং স্কিন ক্রিম ৫০ মিলি</li>\n</ul>\n,"ফেস ক্রিম,nowrishing,skin crem,skin care,"
STO-ITEM-2020-00563,<ul>\n<li>হিমালয়া এন্টি-ডেনড্রাফ সুথিং এন্ড ময়েশ্চারাইজিং শ্যাম্পু ২০০ মিলি</li>\n</ul>\n,"মসচারাইজিং,সেম্পু,shampu,himalay,enti,suthing"
